2015,Models,Note,Frame,Size,Color,Tube,BB-CL,Drop-Out,Shock,Fork,BB Set,B-Lever,Brake-F,Brake-R,B-Cable,C-Housing,Chain,C-Guard,Chainwheel,DERA-F,DERA-R,Freewheel,Bar-End,Grip,H-Bar,H-B Stem,Head Set,Hub-F,Hub-R,Leadpipe,Pedal,Reflector,Reflector-bkt,Rim,Rim tape,Saddle,Seat Clamp,Seat Post,Shifter-F,Shifter-R,Spoke,Spoke Disk,Inner Tube,Tire-F,Tire-R,Hardware,Decal,C/S Protector,Carton,Manual,Packing,Bell
Big.Nine,600,,Big 9 TFS-single,"15-17-19-21-23""",0,0,0,0,0,Rock Shox 30Gold TK29 100 poploc,attached,attached,Tektro Auriga hydraulic 180,Tektro Auriga hydraulic 160,attached,MTK700 SP40,KMC Z10-10s,no,Shimano M612 40-30-22,Shimano Deore triple,Shimano XT Shadow,Shimano CS-HG50-10 11-36,0,MERIDA Screw on-Single,MERIDA pro OS 680 R12,MERIDA pro OS 5,EGG S-bearing ,Bearing Disc,Bearing Disc Cassette,0,XC pro alloy,0,0,Merida Big Nine comp D,0,Merida Sport 5,MERIDA pro QR,MERIDA pro H SB0 27.2,Shimano Deore,Shimano Deore,Black stainless,0,Ultralite-29,Merida Race lite 29er 2.1 fold,Merida Race lite 29er 2.1 fold,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Nine,500,,Big 9 TFS,"15-17-19-21-23""",[1] mat black [2] white,0,0,0,0,Rock Shox XC30TK29 SA 100,Shimano octalink,attached,Shimano M355 180 cen,Shimano M355 160 cen,attached,MTK700 SP40,KMC Z10-10s,no,Shimano M523 octa 40-30-22,Shimano Deore triple,Shimano SLX Shadow,Shimano CS-HG50-10 11-36,0,MERIDA Screw on-Single,MERIDA pro OS 680 R12,MERIDA Comp OS 6,EGG steel,Formula Centerlock,Formula Centerlock cassette,0,XC pro alloy,0,0,Merida Big Nine comp D,0,Merida Sport 5,MERIDA pro QR,MERIDA comp SB12 27.2,Shimano Deore,Shimano Deore,Black stainless,0,Ultralite-29,Merida Race lite 29er 2.1 fold,Merida Race lite 29er 2.1 fold,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Nine,300,,Big 9 TFS,"15-17-19-21-23""",0,0,0,0,0,SR 29 XCR air LO 100,Shimano octalink,attached,Tektro Auriga hydraulic 180,Tektro Auriga hydraulic 160,attached,MTK700 SP40,KMC M99 ,no,Shimano M4000 octa 40-30-22 CG,Shimano Alivio,Shimano Deore-9,Shimano CS-HG200-9 11-34,0,MERIDA Screw on-Single,MERIDA pro OS 680 R12,MERIDA Comp OS 6,EGG steel,Formula Disc,Formula Disc cassette,0,XC pro alloy,0,0,Merida Big Nine comp D,0,Merida Sport/Race,MERIDA pro QR,MERIDA comp SB12 27.2,Shimano Alivio rapidfire,Shimano Alivio rapidfire,Black stainless,0,Ultralite-29,Merida Race 29er 2.1,Merida Race 29er 2.1,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Nine,100,,Big 9 TFS,"15-17-19-21-23""",0,0,0,0,0,SR 29 XCM HLO 100,Cartridge Bearing,attached,Tektro Auriga hydraulic 180,Tektro Auriga hydraulic 160,attached,MTK700 SP40,KMC M99 ,attached,SR XCM 44-32-22 CG,Shimano M370,Shimano Alivio ,Shimano CS-HG200-9 11-34,0,MERIDA Screw on-Single,MERIDA pro OS 680 R12,MERIDA Comp OS 6,EGG steel,Alloy Disc,Alloy Disc cassette,0,XC pro alloy,0,0,Merida Big Nine comp D,0,Merida Sport 5,MERIDA pro QR,MERIDA comp SB12 27.2,Shimano Altus rapidfire,Shimano Altus rapidfire,Black stainless,0,Ultralite-29,Merida Race 29er 2.1,Merida Race 29er 2.1,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Nine,70,,Big 9 Speed,"15-17-19-21-23""",0,0,0,0,0,SR 29 XCM HLO 100,Cartridge Bearing,attached,Promax DSK hydraulic 160,Promax DSK hydraulic 160,attached,MTK700 SP40,KMC Z10-10s,attached,FSA Alfa Drive 44-32-22,Sram X5 ,Sram X5-10,Sunrace CSM-10 11-36,0,MERIDA kraton,MERIDA comp OS 680 R15,MERIDA Comp OS 6,EGG steel-B,Alloy Disc,Alloy Disc cassette,0,XC Alloy,0,0,Merida Big Nine D,0,Merida Sport 5,MERIDA pro QR,MERIDA speed 27.2,Sram Trigger 3,Sram Trigger 10,stainless silver,0,Ultralite-29,Merida 29 2.2,Merida 29 2.2,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Nine,40,,Big 9 Speed,"15-17-19-21-23""",0,0,0,0,0,SR 29 XCM HLO 100,Cartridge Bearing,attached,Promax DSK hydraulic 160,Promax DSK hydraulic 160,attached,MTK700 SP40,KMC M99 ,attached,SR XCM 44-32-22 CG,Shimano M370,Shimano Altus 9,Sunrace CS-9S 11-32,0,MERIDA kraton,MERIDA comp OS 680 R15,MERIDA Comp OS 6,EGG steel-B,Alloy Disc,Alloy Disc cassette,0,XC Alloy,0,0,Merida Big Nine D,0,Merida Sport 5,MERIDA pro QR,MERIDA speed 27.2,Shimano Altus rapidfire,Shimano Altus rapidfire,stainless silver,0,attached 29,Merida 29 2.2,Merida 29 2.2,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Nine,40-MD,,Big 9 Speed,"15-17-19-21-23""",0,0,0,0,0,SR 29 XCM HLO 100,Cartridge Bearing,attached,Promax MTD Mechanical 160,Promax MTD Mechanical 160,2P,MTK700 SP40,KMC M99 ,attached,SR XCM 44-32-22 CG,Shimano M370,Shimano Altus 9,Sunrace CS-9S 11-32,0,MERIDA kraton,MERIDA comp OS 680 R15,MERIDA Comp OS 6,EGG steel-B,Alloy Disc,Alloy Disc cassette,0,XC Alloy,0,0,Merida Big Nine D,0,Merida Sport 5,MERIDA comp QR,MERIDA speed 27.2,Shimano Altus ST rapidfire,Shimano Altus ST rapidfire,stainless silver,0,attached 29,Merida 29 2.2,Merida 29 2.2,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Nine,20-D,,Big 9 Speed,"15-17-19-21-23""",0,0,0,0,0,SR 29 XCM HLO 100,Cartridge Bearing,attached,Promax DSK hydraulic 160,Promax DSK hydraulic 160,attached,SP40,KMC 8s,attached,Shimano M131 42-34-24 CG,Shimano M190,Shimano Acera-X,Sunrace CS8 11-32,0,MERIDA kraton,MERIDA comp OS 680 R15,MERIDA Comp OS 6,EGG steel-B,Alloy Disc,Alloy Disc cassette,0,XC Alloy,0,0,Merida Big Nine D,0,Merida Sport 5,MERIDA comp QR,MERIDA speed 27.2,Shimano Altus rapidfire 3,Shimano Altus rapidfire 8,stainless silver,0,attached 29,Merida 29 2.2,Merida 29 2.2,steel,0,0,0,0,95%,YWS-Alloy
Big.Nine,20-MD,,Big 9 Speed,"15-17-19-21-23""",0,0,0,0,0,SR 29 XCM HLO 100,Cartridge Bearing,attached,Promax MTD Mechanical 160,Promax MTD Mechanical 160,2P,SP40,Sunrace 8S,attached,Shimano M131 42-34-24 CG,Shimano M190,Shimano Acera-X,Sunrace CS8 11-32,0,MERIDA kraton,MERIDA comp OS 680 R15,MERIDA Comp OS 6,EGG steel-B,Alloy Disc,Alloy Disc cassette,0,XC Alloy,0,0,Merida Big Nine D,0,Merida Sport 5,MERIDA comp QR,MERIDA speed 27.2,Shimano EZ fire 3,Shimano EZ fire 8,stainless silver,0,attached 29,Merida 29 2.2,Merida 29 2.2,steel,0,0,0,0,95%,YWS-Alloy
Big.Seven,Team,,Big 7 CF5 team,"15-17-18.5-20-21.5""",0,0,0,0,0,Rock Shox SID XX-27 SA 15mm 100 Xlock taper,attached,attached,Sram XX 180 disc,Sram XX 160 disc CJ,attached,MTK700 SP40,KMC X11 11s,NO,Sram XX1 34 BB30,no,Sram XX1 11s,Sram XG-11s 10-42,0,Foam Vise,PRC Team Flatbar 700,PRC Team OS -7,Big Conoid A-bearing neck,attached,attached,0,NO,0,0,Fulcrum Red Power HP 27 F15-R12 disc,0,Prologo Nago Evo X10 TiroX,Carbon 32 Allen,PRC Double carbon superlite 27.2,no,Sram XX1 trigger,attached,0,Superlite-27.5,Maxxis Crossmark 27 Exception 2.1,Maxxis Crossmark 27 Exception 2.1,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Seven,7000,,Big 7 CF2,"15-17-18.5-20-21.5""",0,0,0,0,0,"Fox 32 Float 650B CTD Remote-Ready O/C (1.5T, 15QR)- Evolution 100",attached,attached,Shimano XT-Fin 180 cen ice,Shimano XT-Fin 160 cen ice J,attached,MTK700 SP40,KMC X10 10s,no,Shimano XT 38-24,Shimano XT direct,Shimano XT Shadow+,Shimano CS-HG81-10 11-36,0,Foam Vise,MERIDA pro OS 700 R12,MERIDA pro Carbon -5,Big Conoid A-bearing neck,attached,12mm axle,0,NO,0,0,Fulcrum Red Power HP 27 F15-R12 cen,0,Prologo Nago Evo X10 STN,Ultralite Allen,MERIDA carbon H SB0 27.2,Shimano XT-i,Shimano XT-i,attached,0,Ultralite-27.5,Schwalbe Racing Ralph EVO 2.25 PSC,Schwalbe Racing Ralph EVO 2.25 PSC,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Seven,6000,,Big 7 CF2,"15-17-18.5-20-21.5""",0,0,0,0,0,Rock Shox SID RL27 SA 100 taper pushloc,attached,attached,Shimano SLX 180 cen,Shimano SLX 160 cen J,attached,MTK700 SP40,KMC X10 10s,NO,Shimano SLX 38-24,Shimano SLX direct,Shimano XT Shadow+,Shimano CS-HG50-10 11-36,0,Foam Vise,MERIDA pro OS 700 R12,MERIDA pro Carbon -5,Big Conoid A-bearing neck,Shimano SLX,Shimano SLX-12,0,NO,0,0,DT Swiss 466D-27,0,Prologo Kappa 2,Ultralite Allen,MERIDA carbon H SB0 27.2,Shimano SLX ispec,Shimano SLX ispec,Black stainless,0,Ultralite-27.5,Continental Race-King 27 2.2 fold,Continental Race-King 27 2.2 fold,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Seven,XT,,Big 7 CF2,"15-17-18.5-20-21.5""",0,0,0,0,0,Fox 32 Float 650B CTD remote ready O/C (1.5T)- Evolution 100,attached,attached,Shimano M506 180 cen,Shimano M506 160 cen J,attached,MTK700 SP40,KMC Z10-10s,no,Shimano XT 40-30-22,Shimano XT direct,Shimano XT Shadow+,Shimano CS-HG50-10 11-36,0,Foam Vise,MERIDA pro OS 700 R12,MERIDA pro OS 5,Big Conoid A-bearing neck,Shimano Deore cen,Shimano Deore-12 cen,0,XC pro alloy,0,0,Merida Big 7 Pro D,0,Merida Sport 1,Ultralite Allen,MERIDA carbon H SB0 27.2,Shimano XT-i,Shimano XT-i,Black stainless,0,Ultralite-27.5,Maxxis Crossmark 27 2.1 fold,Maxxis Crossmark 27 2.1 fold,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Seven,1000,,Big 7 CF2,"15-17-18.5-20-21.5""",0,0,0,0,0,Rock Shox 30Gold TK27 100 taper poploc,attached,attached,Shimano M506 180 cen,Shimano M506 160 cen J,attached,MTK700 SP40,KMC X10 10s,no,Shimano M612 40-30-22,Shimano Deore direct,Shimano XT Shadow,Shimano CS-HG50-10 11-36,0,Foam Vise,MERIDA pro OS 700 R12,MERIDA pro Carbon 5,Big Conoid A-bearing neck,Formula Centerlock ,Formula Centerlock-12,0,XC pro alloy,0,0,Merida Big 7 Pro D,0,Merida Sport 1,Ultralite Allen,MERIDA pro H SB0 27.2,Shimano Deore-i,Shimano Deore-i,Black stainless,0,Ultralite-27.5,Merida RACE lite 27 2.1 fold,Merida RACE lite 27 2.1 fold,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Seven,900,,Big 7 Lite-single R12,"13.5-15-17-18.5-20-21.5-23""",0,0,0,0,0,"Fox 32 Float 650B CTD remote ready O/C (1.5T, 15QR)- Evolution 100 taper",attached,attached,Shimano XT-Fin 180 cen,Shimano XT-Fin 160 cen,attached,MTK700 SP40,KMC Z10-10s,no,Shimano XT 40-30-22,Shimano XT triple,Shimano XT Shadow+,Shimano CS-HG50-10 11-36,0,MERIDA Screw on-Single,MERIDA pro OS 700 R12,MERIDA pro OS 5,Big Conoid A-bearing neck,Shimano XT 15,Shimano XT 12,0,XC pro alloy,0,0,DT Swiss 466D-27,0,Prologo Kappa 2,Hollow Allen,MERIDA pro H SB0 27.2,Shimano XT-i,Shimano XT-i,Black stainless,0,Ultralite-27.5,Maxxis Crossmark 27 2.1 fold,Maxxis Crossmark 27 2.1 fold,Stainless,0,0,0,0,0.95,YWS-Alloy
Big.Seven,800,,Big 7 Lite-single R12,"13.5-15-17-18.5-20-21.5-23""",0,0,0,0,0,Fox 32 Float 650B CTD remote ready O/C (1.5T)- Evolution 100 taper,attached,attached,Shimano M615 180 cen,Shimano M615 160 cen,attached,MTK700 SP40,KMC X10 10s,no,Shimano SLX 38-24,Shimano Deore double,Shimano SLX Shadow+,Shimano CS-HG50-10 11-36,0,Foam Vise,MERIDA pro OS 700 R12,MERIDA pro OS 5,Big Conoid A-bearing neck,Shimano Deore,Shimano Deore-12 cen,0,XC pro alloy,0,0,DT Swiss 466D-27,0,Selle Italia X1,Hollow Allen,MERIDA pro H SB0 27.2,Shimano SLX ispec,Shimano SLX ispec,Black stainless,0,Ultralite-27.5,Continental Race-King 27 2.2 fold,Continental Race-King 27 2.2 fold,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Seven,XT-edition,,Big 7 TFS-single,"13.5-15-17-18.5-20-21.5-23""",0,0,0,0,0,Rock Shox 30Gold TK27 100 poploc,attached,attached,Shimano M506 180 cen,Shimano M506 160 cen,attached,MTK700 SP40,KMC Z10-10s,no,Shimano XT 40-30-22,Shimano XT triple,Shimano XT Shadow+,Shimano CS-HG50-10 11-36,0,MERIDA Screw on-Single,MERIDA pro OS 680 R12,MERIDA pro OS 5,EGG steel neck,Shimano M435 cen,Shimano M435 cen,0,XC pro alloy,0,0,Merida Big 7 Pro D,0,Merida Sport 1,MERIDA pro QR,MERIDA pro H SB0 27.2,Shimano XT-i,Shimano XT-i,Black stainless,0,Ultralite-27.5,Maxxis Crossmark 27 2.1 fold,Maxxis Crossmark 27 2.1 fold,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Seven,XT-edition-Juliet,,Big 7 TFS-single,lady 13.5-15-17-18.5,0,0,0,0,0,Rock Shox 30Gold TK27 100 poploc,attached,attached,Shimano M506 180 cen,Shimano M506 160 cen,attached,MTK700 SP40,KMC Z10-10s,no,Shimano XT 40-30-22,Shimano XT triple,Shimano XT Shadow+,Shimano CS-HG50-10 11-36,0,ERGO Screw on-Single,MERIDA pro OS 660 R12 lady,MERIDA pro OS 5 lady,EGG steel neck,Shimano M435 cen,Shimano M435 cen,0,Comfort Alloy triple,0,0,Merida Big 7 Pro D,0,Juliet Sport,MERIDA pro QR,MERIDA pro H SB0 27.2,Shimano XT-i,Shimano XT-i,Black+White stainless,0,Ultralite-27.5,Merida RACE lite 27.5 2.1 fold,Merida RACE lite 27.5 2.1 fold,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Seven,Team Issue,,Big 7 TFS-single,"13.5-15-17-18.5-20-21.5-23""",0,0,0,0,0,Rock Shox 30Gold TK27 100 poploc,attached,attached,Sram DB5 180,Sram DB5 160,attached,MTK700 SP40,KMC Z10-10s,no,Sram S1000 38-24,Sram X5 double,Sram X9 carbon ,Shimano CS-HG50-10 11-36,0,MERIDA Screw on-Single,MERIDA pro OS 680 R12,MERIDA pro OS 5,EGG steel neck,Bearing Disc,Bearing Disc Cassette,0,XC pro alloy,0,0,Merida Big 7 comp D,0,Merida Sport 1,MERIDA pro QR,MERIDA pro H SB0 27.2,Sram X7 trigger ,Sram X7 trigger ,Black stainless,0,Ultralite-27.5,Merida RACE lite 27 2.1 fold,Merida RACE lite 27 2.1 fold,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Seven,600,,Big 7 TFS-single,"13.5-15-17-18.5-20-21.5-23""",0,0,0,0,0,Rock Shox 30Gold TK27 100 poploc,attached,attached,Tektro Auriga hydraulic 180,Tektro Auriga hydraulic 160,attached,MTK700 SP40,KMC Z10-10s,no,Shimano M612 40-30-22,Shimano Deore triple,Shimano XT Shadow,Shimano CS-HG50-10 11-36,0,MERIDA Screw on-Single,MERIDA pro OS 680 R12,MERIDA pro OS 5,EGG steel neck,Bearing Disc,Bearing Disc Cassette,0,XC pro alloy,0,0,Merida Big 7 comp D,0,Merida Sport 5,MERIDA pro QR,MERIDA pro H SB0 27.2,Shimano Deore,Shimano Deore,Black stainless,0,Ultralite-27.5,Merida RACE lite 27 2.1 fold,Merida RACE lite 27 2.1 fold,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Seven,600-Juliet,,Big 7 TFS-single,lady 13.5-15-17-18.5,0,0,0,0,0,Rock Shox 30Gold TK27 100 poploc,attached,attached,Tektro Auriga hydraulic 180,Tektro Auriga hydraulic 160,attached,MTK700 SP40,KMC Z10-10s,no,Shimano M612 40-30-22,Shimano Deore triple,Shimano XT Shadow,Shimano CS-HG50-10 11-36,0,ERGO Screw on-Single,MERIDA pro OS 660 R12 lady,MERIDA pro OS 5 lady,EGG steel neck,Bearing Disc,Bearing Disc Cassette,0,XC pro alloy,0,0,Merida Big 7 comp D,0,Juliet Sport,MERIDA pro QR,MERIDA pro H SB0 27.2,Shimano Deore,Shimano Deore,Black+White stainless,0,Ultralite-27.5,Merida RACE lite 27 2.1 fold,Merida RACE lite 27 2.1 fold,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Seven,500,,Big 7 TFS,"13.5-15-17-18.5-20-21.5-23""",0,0,0,0,0,Rock Shox XC30TK27 SA 100,Shimano octalink,attached,Shimano M355 180 cen,Shimano M355 160 cen,attached,MTK700 SP40,KMC Z10-10s,no,Shimano M523 octa 40-30-22,Shimano Deore triple,Shimano SLX Shadow,Shimano CS-HG50-10 11-36,0,MERIDA Screw on-Single,MERIDA pro OS 680 R12,MERIDA Comp OS 6,EGG steel neck,Formula Centerlock,Formula Centerlock cassette,0,XC pro alloy,0,0,Merida Big 7 comp D,0,Merida Sport 5,MERIDA pro QR,MERIDA comp SB12 27.2,Shimano Deore,Shimano Deore,Black stainless,0,Ultralite-27.5,Merida RACE lite 27 2.1 fold,Merida RACE lite 27 2.1 fold,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Seven,300,,Big 7 TFS,"13.5-15-17-18.5-20-21.5-23""",0,0,0,0,0,SR 27 XCR air LO 100,Shimano octalink,attached,Tektro Auriga hydraulic 180,Tektro Auriga hydraulic 160,attached,MTK700 SP40,KMC M99 ,attached,Shimano M4000 octa 40-30-22 CG,Shimano Alivio,Shimano Deore-9,Shimano CS-HG200-9 11-34,0,MERIDA Screw on-Single,MERIDA pro OS 680 R12,MERIDA Comp OS 6,EGG steel neck,Formula Disc,Formula Disc cassette,0,XC pro alloy,0,0,Merida Big 7 comp D,0,Merida Sport/Race,MERIDA comp QR,MERIDA comp SB12 27.2,Shimano Alivio rapidfire,Shimano Alivio rapidfire,Black stainless,0,Ultralite-27.5,Merida RACE 27 2.1,Merida RACE 27 2.1,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Seven,100,,Big 7 TFS,"13.5-15-17-18.5-20-21.5-23""",0,0,0,0,0,SR 27 XCM HLO 100,Cartridge Bearing,attached,Tektro Auriga hydraulic 180,Tektro Auriga hydraulic 160,attached,MTK700 SP40,KMC M99 ,attached,SR XCM 44-32-22 CG,Shimano M370,Shimano Alivio ,Shimano CS-HG200-9 11-34,0,MERIDA Screw on-Single,MERIDA pro OS 680 R12,MERIDA Comp OS 6,EGG steel neck,Alloy Disc,Alloy Disc cassette,0,XC pro alloy,0,0,Merida Big 7 comp D,0,Merida Sport 5,MERIDA comp QR,MERIDA comp SB12 27.2,Shimano Altus rapidfire,Shimano Altus rapidfire,Black stainless,0,Ultralite-27.5,Merida RACE 27 2.1,Merida RACE 27 2.1,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Seven,70,,Big 7 Speed,"13.5-15-17-18.5-20-21.5-23""",0,0,0,0,0,SR 27 XCM HLO 100,Cartridge Bearing,attached,Tektro Auriga hydraulic 160,Tektro Auriga hydraulic 160,attached,SP40,KMC Z10-10s,attached,FSA Alfa Drive 44-32-22,Sram X5 ,Sram X5-10,Sunrace CSM-10 11-36,0,MERIDA kraton,MERIDA comp OS 680 R15,MERIDA Comp OS 6,EGG steel-B,Alloy Disc,Alloy Disc cassette,0,XC Alloy,0,0,Merida Big 7 comp D,0,Merida Sport 5,MERIDA comp QR,MERIDA speed 27.2,Sram Trigger 3,Sram Trigger 10,stainless silver,0,attached 27.5,Merida 27 2.1,Merida 27 2.1,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Seven,40,,Big 7 Speed,"13.5-15-17-18.5-20-21.5-23""",0,0,0,0,0,SR 27 XCM HLO 100,Cartridge Bearing,attached,Promax DSK hydraulic 160,Promax DSK hydraulic 160,attached,SP40,KMC M99 ,attached,SR XCM 44-32-22 CG,Shimano Altus,Shimano Altus 9,Sunrace CS-9S 11-32,0,MERIDA kraton,MERIDA comp OS 680 R15,MERIDA Comp OS 6,EGG steel-B,Alloy Disc,Alloy Disc cassette,0,XC Alloy,0,0,Merida Big 7 comp D,0,Merida Sport 5,MERIDA comp QR,MERIDA speed 27.2,Shimano Altus rapidfire,Shimano Altus rapidfire,stainless silver,0,attached 27.5,Merida 27 2.1,Merida 27 2.1,Stainless,0,0,0,0,0.95,YWS-Alloy
Big.Seven,40-MD,,Big 7 Speed,"13.5-15-17-18.5-20-21.5-23""",0,0,0,0,0,SR 27 XCM HLO 100,Cartridge Bearing,attached,Promax MTD Mechanical 160,Promax MTD Mechanical 160,2P,SP40,KMC M99 ,attached,SR XCM 44-32-22 CG,Shimano M370,Shimano Altus 9,Sunrace CS-9S 11-32,0,MERIDA kraton,MERIDA comp OS 680 R15,MERIDA Comp OS 6,EGG steel-B,Alloy Disc,Alloy Disc cassette,0,XC Alloy,0,0,Merida Big 7 comp D,0,Merida Sport 5,MERIDA comp QR,MERIDA speed 27.2,Shimano Altus ST rapidfire,Shimano Altus ST rapidfire,stainless silver,0,attached 27.5,Merida 27 2.1,Merida 27 2.1,Stainless,0,0,0,0,95%,YWS-Alloy
Big.Seven,20-D,,Big 7 Speed,"13.5-15-17-18.5-20-21.5-23""",0,0,0,0,0,SR 27 XCM HLO 100,Cartridge Bearing,attached,Promax DSK hydraulic 160,Promax DSK hydraulic 160,attached,SP40,KMC 8s,attached,Shimano M131 42-34-24 CG,Shimano M190,Shimano Acera-X,Sunrace CS8 11-32,0,MERIDA kraton,MERIDA comp OS 680 R15,MERIDA Comp OS 6,EGG steel-B,Alloy Disc,Alloy Disc cassette,0,XC Alloy,0,0,Merida Big 7 D,0,Merida Sport 5,MERIDA comp QR,MERIDA speed 27.2,Shimano Altus rapidfire 3,Shimano Altus rapidfire 8,stainless silver,0,attached 27.5,Merida 27 2.1,Merida 27 2.1,steel,0,0,0,0,95%,YWS-Alloy
Big.Seven,20-MD,,Big 7 Speed,"13.5-15-17-18.5-20-21.5-23""",0,0,0,0,0,SR 27 XCM HLO 100,Cartridge Bearing,attached,Promax MTD Mechanical 160,Promax MTD Mechanical 160,2P,SP40,Sunrace 8S,attached,Shimano M131 42-34-24 CG,Shimano M190,Shimano Acera-X,Sunrace CS8 11-32,0,MERIDA kraton,MERIDA comp OS 680 R15,MERIDA Comp OS 6,EGG steel-B,Alloy Disc,Alloy Disc cassette,0,XC Alloy,0,0,Merida Big 7 D,0,Merida Sport 5,MERIDA comp QR,MERIDA speed 27.2,Shimano EZ fire 3,Shimano EZ fire 8,stainless silver,0,attached 27.5,Merida 27 2.1,Merida 27 2.1,steel,0,0,0,0,95%,YWS-Alloy
Matts 6.,500,,Matts TFS,"[14.5]-16-18-20-22-[24]""",0,0,0,0,0,SR 26 XCM HLO 100,Cartridge Bearing,attached,Tektro Auriga hydraulic 180,Tektro Auriga hydraulic 160,attached,MTK700 SP40,KMC Z10-10s,attached,FSA Dynadrive 40-30-22,Shimano Deore triple,Shimano SLX Shadow,Shimano CS-HG50-10 11-36,0,MERIDA Screw on-Single,MERIDA comp OS 660 R25,MERIDA NC OS 6,EGG steel neck,Alloy Disc,Alloy Disc cassette,0,XC Alloy,0,0,Merida Matts Comp D,0,Merida Sport 5,MERIDA comp QR,MERIDA comp SB12 31.6,Shimano Deore,Shimano Deore,Black stainless,0,Ultralite,MERIDA RACE 2.1 ,MERIDA RACE 2.1 ,Stainless,0,0,0,0,95%,YWS-Alloy
Matts 6.,100,,Matts TFS,"[14.5]-16-18-20-22-[24]""",0,0,0,0,0,SR 26 XCM HLO 100,Cartridge Bearing,attached,Tektro Auriga hydraulic 180,Tektro Auriga hydraulic 160,attached,MTK700 SP40,KMC M99 ,attached,Shimano M391 44-32-22 CG,Shimano M370,Shimano Alivio ,Shimano CS-HG200-9 11-34,0,MERIDA Screw on-Single,MERIDA comp OS 660 R25,MERIDA Comp OS 6,EGG steel neck,Alloy Disc,Alloy Disc cassette,0,XC Alloy,0,0,Merida Matts Comp D,0,Merida Sport 5,MERIDA comp QR,MERIDA comp SB12 31.6,Shimano Altus rapidfire,Shimano Altus rapidfire,Black stainless,0,Ultralite,MERIDA RACE 2.1 ,MERIDA RACE 2.1 ,Stainless,0,0,0,0,95%,YWS-Alloy
Matts 6.,40-D,,Matts Speed,"[14.5]-16-18-20-22-[24]""",0,0,0,0,0,SR 26 XCT-HLO 100,Cartridge Bearing,attached,Promax DSK hydraulic 160,Promax DSK hydraulic 160,attached,SP40,KMC M99 ,attached,SR XCM 44-32-22 CG,Shimano Altus,Shimano Altus 9,Sunrace CS-9S 11-32,0,MERIDA kraton,MERIDA comp OS 660 R25,MERIDA Comp OS 6,EGG steel-B,Alloy Disc,Alloy Disc cassette,0,XC Alloy,0,0,Merida Matts D,0,Merida Sport 5,MERIDA comp QR,MERIDA speed 27.2,Shimano Altus rapidfire,Shimano Altus rapidfire,stainless silver,0,attached 26,Merida 26 2.1,Merida 26 2.1,Stainless,0,0,0,0,95%,YWS-Alloy
Matts 6.,40-MD,,Matts Speed,"[14.5]-16-18-20-22-[24]""",0,0,0,0,0,SR 26 XCT-HLO 100,Cartridge Bearing,attached,Promax MTD Mechanical 160,Promax MTD Mechanical 160,2P,SP40,KMC M99 ,attached,SR XCM 44-32-22 CG,Shimano M370 ,Shimano Altus 9,Sunrace CS-9S 11-32,0,MERIDA kraton,MERIDA comp OS 660 R25,MERIDA Comp OS 6,EGG steel-B,Alloy Disc,Alloy Disc cassette,0,XC Alloy,0,0,Merida Matts D,0,Merida Sport 5,MERIDA comp QR,MERIDA speed 27.2,Shimano Altus ST rapidfire,Shimano Altus ST rapidfire,stainless silver,0,attached 26,Merida 26 2.1,Merida 26 2.1,Stainless,0,0,0,0,95%,YWS-Alloy
Matts 6.,40-V,,Matts Speed-V,"[14.5]-16-18-20-22-[24]""",0,0,0,0,0,SR 26 XCT-HLO 100,Cartridge Bearing,attached,V-Brake Linear,V-Brake Linear,2P,SP40,KMC M99 ,attached,SR XCM 44-32-22 CG,Shimano M370 ,Shimano Altus 9,Sunrace CS-9S 11-32,0,MERIDA kraton,MERIDA comp OS 660 R25,MERIDA Comp OS 6,EGG steel-B,OV alloy,OV Cassette,0,XC Alloy,0,0,Merida Matts V,0,Merida Sport 5,MERIDA comp QR,MERIDA speed 27.2,Shimano Altus ST rapidfire,Shimano Altus ST rapidfire,stainless silver,0,attached 26,Merida 26 2.1,Merida 26 2.1,Stainless,0,0,0,0,95%,YWS-Alloy
